"Country","Sport","Count"
"Netherlands","Sailing",2
"New Zealand","Athletics",2
"New Zealand","Cycling",2
"New Zealand","Rowing",3
"New Zealand","Sailing",1
"New Zealand","Triathlon",1
"Nigeria","Athletics",2
"Nigeria","Football",1
"Nigeria","Taekwondo",1
"North Korea","Gymnastics",1
"North Korea","Judo",3
"North Korea","Weightlifting",2
"Norway","Aquatics",2
"Norway","Athletics",2
"Norway","Canoe / Kayak",1
"Norway","Handball",1
"Norway","Rowing",1
"Norway","Shooting",1
"Norway","Taekwondo",1
"Panama","Athletics",1
"Poland","Athletics",2
"Poland","Canoe / Kayak",1
"Poland","Cycling",1
"Poland","Fencing",1
"Poland","Gymnastics",1
"Poland","Rowing",2
"Poland","Weightlifting",1
"Poland","Wrestling",1
"Portugal","Athletics",1
"Portugal","Triathlon",1
"Romania","Athletics",1
"Romania","Fencing",2
"Romania","Gymnastics",2
"Romania","Judo",1
"Romania","Rowing",2
"Russia","Aquatics",11
"Russia","Archery",1
"Russia","Athletics",18
"Russia","Basketball",1
"Russia","Boxing",3
"Russia","Canoe / Kayak",3
"Russia","Cycling",2
"Russia","Fencing",1
"Russia","Gymnastics",4
"Russia","Handball",1
"Russia","Modern Pentathlon",1
"Russia","Shooting",4
"Russia","Tennis",3
"Russia","Volleyball",1
"Russia","Weightlifting",7
"Russia","Wrestling",8
"Serbia","Aquatics",2
"Serbia","Tennis",1
"Singapore","Table Tennis",1
"Slovakia","Canoe / Kayak",4
"Slovakia","Shooting",1
"Slovakia","Wrestling",1
"Slovenia","Aquatics",1
"Slovenia","Athletics",1
"Slovenia","Judo",1
"Slovenia","Sailing",1
"Slovenia","Shooting",1
"South Africa","Athletics",1
"South Korea","Aquatics",2
"South Korea","Archery",5
"South Korea","Badminton",4
"South Korea","Baseball",1
"South Korea","Boxing",1
"South Korea","Fencing",1
"South Korea","Gymnastics",1
"South Korea","Handball",1
"South Korea","Judo",4
"South Korea","Shooting",2
"South Korea","Table Tennis",2
"South Korea","Taekwondo",4
"South Korea","Weightlifting",3
"South Korea","Wrestling",1
"Spain","Aquatics",2
"Spain","Basketball",1
"Spain","Canoe / Kayak",3
"Spain","Cycling",4
"Spain","Fencing",1
"Spain","Gymnastics",1
"Spain","Handball",1
"Spain","Hockey",1
"Spain","Sailing",2
"Spain","Tennis",2
"Sudan","Athletics",1
"Sweden","Cycling",2
"Sweden","Equestrian",1
"Sweden","Sailing",1
"Sweden","Tennis",1
"Switzerland","Cycling",4
"Switzerland","Equestrian",2
"Switzerland","Judo",1
"Switzerland","Tennis",1
"Taiwan","Taekwondo",2
"Taiwan","Weightlifting",2
"Tajikistan","Judo",1
"Tajikistan","Wrestling",1
"Thailand","Boxing",2
"Thailand","Taekwondo",1
"Thailand","Weightlifting",1
"Togo","Canoe / Kayak",1
"Trinidad and Tobago","Athletics",2
"Tunisia","Aquatics",1
"Turkey","Athletics",2
"Turkey","Boxing",1
"Turkey","Taekwondo",2
"Turkey","Weightlifting",1
"Turkey","Wrestling",2
"Ukraine","Aquatics",1
"Ukraine","Archery",1
"Ukraine","Athletics",5
"Ukraine","Boxing",2
"Ukraine","Canoe / Kayak",2
"Ukraine","Cycling",1
"Ukraine","Fencing",1
"Ukraine","Gymnastics",2
"Ukraine","Judo",1
"Ukraine","Modern Pentathlon",1
"Ukraine","Shooting",3
"Ukraine","Weightlifting",2
"Ukraine","Wrestling",5
"United Kingdom","Aquatics",6
"United Kingdom","Athletics",4
"United Kingdom","Boxing",3
"United Kingdom","Canoe / Kayak",3
"United Kingdom","Cycling",14
"United Kingdom","Equestrian",3
"United Kingdom","Gymnastics",1
"United Kingdom","Modern Pentathlon",1
"United Kingdom","Rowing",6
"United Kingdom","Sailing",6
"United Kingdom","Taekwondo",1
"United States","Aquatics",33
"United States","Athletics",23
"United States","Baseball",1
"United States","Basketball",2
"United States","Boxing",1
"United States","Cycling",5
"United States","Equestrian",4
"United States","Fencing",6
"United States","Football",1
"United States","Gymnastics",10
"United States","Judo",1
"United States","Rowing",3
"United States","Sailing",2
"United States","Shooting",6
"United States","Softball",1
"United States","Taekwondo",3
"United States","Tennis",2
"United States","Volleyball",4
"United States","Wrestling",3
"Uzbekistan","Gymnastics",2
"Uzbekistan","Judo",2
"Uzbekistan","Wrestling",2
"Venezuela","Taekwondo",1
"Vietnam","Weightlifting",1
"Zimbabwe","Aquatics",4
